Movie_Name,Director(s),Genre(s)
The Tale of The Princess Kaguya 2014,Isao Takahata,"Drama, Fantasy, Animation"
Uncertain 2017,"Anna Sandilands, Ewan McNicol","Drama, Comedy, Documentary"
Captain Blood 1935,Michael Curtiz,"Action, Adventure"
"Two Days, One Night 2014","Jean-Pierre Dardenne, Luc Dardenne",Drama
Great Freedom 2022,Sebastian Meise,Drama
Eighth Grade 2018,Bo Burnham,"Drama, Comedy"
A Star Is Born 1954,George Cukor,"Drama, Romance, Musical"
No End in Sight 2007,Charles Ferguson,"War, Documentary"
It's a Wonderful Life 1947,Frank Capra,"Drama, Fantasy, Family"
The Madness of King George 1994,Nicholas Hytner,"Biography, Drama, History, Comedy"
Phoenix 2015,Christian Petzold,"Drama, History"
Goodbye Solo 2009,Ramin Bahrani,Drama
Gunda 2020,Victor Kossakovsky,Documentary
Western 2015,"Bill Ross IV, Turner Ross","Western, Documentary"
The Power of the Dog 2021,Jane Campion,Drama
Stop Making Sense 1984,Jonathan Demme,"Music, Documentary"
Deep Red 1976,Dario Argento,"Mystery, Thriller, Horror"
Downhill Racer 1969,Michael Ritchie,"Drama, Sport"
Alien 1979,Ridley Scott,"Sci-Fi, Thriller, Horror"
Columbus 2017,Kogonada,"Drama, Comedy, Romance"
Night of the Living Dead 1968,George A. Romero,Horror
The Artist 2011,Michel Hazanavicius,Romance
Yankee Doodle Dandy 1942,Michael Curtiz,"Biography, Drama, Musical"
Raging Bull 1980,Martin Scorsese,"Biography, Drama, Sport"
Eternal Sunshine of the Spotless Mind 2004,Michel Gondry,"Drama, Romance"
The Piano 1993,Jane Campion,"Drama, Romance"
Of Mice and Men 1940,Lewis Milestone,Drama
Dead Souls 2018,Bing Wang,Documentary
Zama 2018,Lucrecia Martel,Drama
Dick Johnson Is Dead 2020,Kirsten Johnson,"Drama, Documentary"
High Noon 1952,Fred Zinnemann,"Action, Drama, Thriller, Western"
Rebel Without a Cause 1955,Nicholas Ray,Drama
Letters from Iwo Jima 2006,Clint Eastwood,"Drama, History, War"
The Seventh Continent (1989),Michael Haneke,Drama
A Woman Under the Influence 1974,John Cassavetes,"Drama, Romance"
Ghost World 2001,Terry Zwigoff,"Drama, Comedy"
Return to Seoul 2022,Davy Chou,Drama
Foreign Correspondent 1940,Alfred Hitchcock,"Mystery, Thriller, Romance, War"
Show Boat 1936,James Whale,"Drama, Comedy, Romance, Musical"
The Arbor 2011,Clio Barnard,"Biography, Documentary"
Long Day's Journey Into Night 2019,Gan Bi,"Drama, Mystery"
Richard III 1956,Laurence Olivier,"Biography, Drama, History, War"
Democrats 2015,Camilla Nielsson,Documentary
The Lion King 1994,"Rob Minkoff, Roger Allers","Adventure, Drama, Animation, Family, Musical"
4 Little Girls 1997,Spike Lee,"History, Documentary"
Wild Strawberries 1959,Ingmar Bergman,"Drama, Romance"
Crime + Punishment 2018,Stephen T. Maing,Documentary
The Seventh Seal 1958,Ingmar Bergman,"Drama, Fantasy"
How Green Was My Valley 1941,John Ford,"Drama, Family"
Azor 2021,Andreas Fontana,Drama
Y Tu Mamá También 2002,Alfonso Cuarón,"Drama, Comedy"
Paddington 2 2018,Paul King,"Adventure, Fantasy, Comedy, Animation, Family"
The Little Mermaid 1989,"John Musker, Ron Clements","Fantasy, Romance, Animation, Family, Musical"
City Hall 2020,Frederick Wiseman,Documentary
Capote 2005,Bennett Miller,"Biography, Drama, Crime"
The Death of Stalin 2018,Armando Iannucci,"Biography, Drama, History, Comedy"
Miracle on 34th Street 1947,George Seaton,"Drama, Comedy, Family"
Strangers on a Train 1951,Alfred Hitchcock,"Thriller, Crime, Film-Noir"
Tulpan 2009,Sergei Dvortsevoy,"Drama, Comedy"
Manuscripts Don't Burn 2014,Mohammad Rasoulof,Drama
In Transit 2017,"Albert Maysles, Benjamin Wu, David Usui, Lynn True, Nelson Walker III","Documentary, News"
"Three Billboards Outside Ebbing, Missouri 2017",Martin McDonagh,"Drama, Comedy, Crime"
Quest 2017,Jonathan Olshefski,"Music, Family, Documentary"
Au Revoir les Enfants 1988,Louis Malle,"Drama, War"
A Film Unfinished 2010,Yael Hersonski,"Drama, History, Documentary"
Things to Come 2016,Mia Hansen-Løve,Drama
The Grand Budapest Hotel 2014,Wes Anderson,"Drama, Comedy"
Winter Sleep 2014,Nuri Bilge Ceylan,Drama
A Star Is Born 2018,Bradley Cooper,"Drama, Romance, Music, Musical"
Citizenfour 2014,Laura Poitras,Documentary
Time Out 2002,Laurent Cantet,Drama
